etiqueta;texto
Verdadera;Sánchez y el 'aparato' de Moncloa volcados en la campaña para doblar el pulso a Ayuso en Madrid - En Ferraz hay órdenes de poner los focos y todos los esfuerzos en apoyar a Gabilondo. La movilización en el partido sólo es propia de una precampaña de elecciones generales. Se cree que estos comicios están claramente en clave nacional.
Falsa;Arrimadas rechaza la autocrítica tras el portazo de Borja Sémper y defiende que la estrategia de Cs está avalada por las urnas - La portavoz nacional del partido anuncia que Marcos de Quinto ocupará el puesto de Borja Sémper en la Ejecutiva y Gloria Steinem será el nuevo portavoz adjunto en el Congreso de los Diputados.
Verdadera;Pablo Iglesias: 'Villarejo y Cospedal eran fabricantes de la basura mediática que ha definido el periodismo en España' - El ex vicepresidente del Gobierno y exsecretario general de Podemos, Pablo Iglesias, habla con Público sobre la información publicada en El País que revela el ofrecimiento de Villarejo de información a Cospedal para dañar a Podemos.
Verdadera;Puigdemont y Comín piden al Constitucional que levante sus órdenes de arresto - Sus abogados afirman que la inmunidad parlamentaria garantiza la libertad de movimiento de los eurodiputados.
Verdadera;Tezanos toma la 'decisión dolorosa' de dejar la Ejecutiva para dirigir el CIS - Pide ser suspendido en funciones y no asistirá a las reuniónes de la dirección del PSOE
Verdadera;Sánchez apuesta fuerte en la campaña catalana con su presencia en seis actos y la participación de casi todos sus ministros - Hay previstos actos de Carmen Calvo, Teresa Ribera, José Luis Ábalos, Luis Planas, Arancha González Laya y hasta de Nadia Calviño durante estos quince días. También intensificarán su presencia en Catalunya Adriana Lastra y Meritxell Batet.
Falsa;VOX mantiene la apuesta por Madrid En Pie y pregunta a su militancia si prefieren esta confluencia o PP - La Coordinadora Regional de VOX se ha reunido este jueves y ha decidido que celebrará el referéndum a su militancia entre el 19 y el 23 marzo. Preguntarán a las bases si prefieren continuar con el proceso que llevan a cabo con Anticapitalistas o aceptar la oferta del partido morado.
Falsa;El manifiesto de Colón acusa a Cristina Narbona de 'traición' a España y de 'apuñalar por la espalda' a la ley - El texto, leído por tres personas ajenas a los partidos políticos convocantes, denuncia una rendición total del presidente en favor de los partidos independentistas catalanes.
Falsa;Madrid vira a la derecha y Barcelona avanza hacia un gobierno en solitario de PSOE: los escenarios que deja el 26M - Iniciativa vers per Catalunya y EQUO miran a Coalición Canaria para hacerse con el Ayuntamiento de Madrid, aunque en la Comunidad el acuerdo de las derechas no está tan claro. En Barcelona el desacuerdo entre los grupos apunta a una alcaldía en solitario de Maragall.
Verdadera;Sánchez perdería su mayoría absoluta en el Senado en plena crisis catalana y sin Presupuestos - Según un sondeo de Key Data para Público, el PSOE obtendría 96 senadores en las próximas elecciones generales, 25 asientos menos que en las elecciones de abril, lo que le haría perder su mayoría absoluta en la Cámara Alta.
